"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4";"D_SOD-123";1;"SMAZ15V";;;
2;"J5";"WireConnection_1.20mmDrill";1;"TP-";;;
3;"J3";"WireConnection_1.20mmDrill";1;"TPin";;;
4;"J4";"WireConnection_1.20mmDrill";1;"TP+";;;
5;"R7,R8";"R_0603";2;"4K7";;;
6;"C3,C2";"C_0603";2;"100N";;;
7;"R1";"R_0603_HandSoldering";1;"225K";;;
8;"R2,R4";"R_0603_HandSoldering";2;"15K";;;
9;"C12,C10,C20,C19,C5";"C_0603";5;"330N";;;
10;"J1";"Molex_KK-6410-02_02x2.54mm_Straight";1;"DC in";;;
11;"FL1";"Murata_EMIFIL_LC_NFE31PT";1;"EMI_Filter_LCL";;;
12;"C15,C11,C24,C23,C22,C21,C18,C17,C16,C14,C13,C9,C8,C4,C1";"C_1206";15;"10U";;;
13;"D5";"SOT-223-3_TabPin2";1;"Z0109NN5AA4";;;
14;"D3";"D_SOD-123";1;"SMAZ10V0";;;
15;"U3";"TO-252-2_Rectifier";1;"MC79M15_DPAK-3";;;
16;"U2";"TO-252-2_Rectifier";1;"MC78M15_DPAK-3";;;
17;"U1";"DFN-10-1EP_3x3mm_Pitch0.5mm";1;"LT3471";;;
18;"R6";"R_0402";1;"220R";;;
19;"R3";"R_0603_HandSoldering";1;"240K";;;
20;"Q2";"SOT-23";1;"Si2323DS";;;
21;"L3,L2,L1";"Sunlord_SWPA6028S";3;"10U";;;
22;"J2";"Molex_KK-6410-03_03x2.54mm_Straight";1;"Vout";;;
23;"H4,H3,H2,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
24;"F1";"Fuseholder5x20_horiz_open_inline_Type-I";1;"800mA";;;
25;"D9,D8,D7,D6,D2,D1";"D_SMA";6;"STPS140";;;
26;"C7,C6";"C_0402";2;"56P";;;
